File ID,Hoofdcompetentie,Subcompetentie,Percentage,Perc_Group
061a8da0-102b-58ec-9536-67e4018e4894,Relationeel vermogen,Sensitiviteit,63,1
061a8da0-102b-58ec-9536-67e4018e4894,Relationeel vermogen,Samenwerking,57,1
061a8da0-102b-58ec-9536-67e4018e4894,Relationeel vermogen,Optreden,59,1
061a8da0-102b-58ec-9536-67e4018e4894,Relationeel vermogen,Relatiebeheer,54,1
061a8da0-102b-58ec-9536-67e4018e4894,Relationeel vermogen,Sociabiliteit,54,1
061a8da0-102b-58ec-9536-67e4018e4894,Relationeel vermogen,Assertiviteit,54,1
eb695653-6a34-557a-aa9b-90a16a666a9b,Persoonlijke gerichtheid,Initiatief,55,1
eb695653-6a34-557a-aa9b-90a16a666a9b,Persoonlijke gerichtheid,Besluitvaardigheid,22,0
eb695653-6a34-557a-aa9b-90a16a666a9b,Persoonlijke gerichtheid,Flexibiliteit,71,2
eb695653-6a34-557a-aa9b-90a16a666a9b,Persoonlijke gerichtheid,Stressbestendigheid,89,2
eb695653-6a34-557a-aa9b-90a16a666a9b,Persoonlijke gerichtheid,Ambitie,96,2
eb695653-6a34-557a-aa9b-90a16a666a9b,Persoonlijke gerichtheid,Zelfstandigheid,42,1
eb695653-6a34-557a-aa9b-90a16a666a9b,Persoonlijke gerichtheid,Doorzettingsvermogen,98,2
eb695653-6a34-557a-aa9b-90a16a666a9b,Persoonlijke gerichtheid,Resultaatgerichtheid,96,2
eb695653-6a34-557a-aa9b-90a16a666a9b,Persoonlijke gerichtheid,Leerbereidheid,95,2
eb695653-6a34-557a-aa9b-90a16a666a9b,Persoonlijke gerichtheid,Inzet,98,2
eb695653-6a34-557a-aa9b-90a16a666a9b,Persoonlijke gerichtheid,Nauwkeurigheid,97,2
eb695653-6a34-557a-aa9b-90a16a666a9b,Organisatiegerichtheid,Organisatiesensitiviteit,90,2
eb695653-6a34-557a-aa9b-90a16a666a9b,Organisatiegerichtheid,Klantoriëntatie,96,2
eb695653-6a34-557a-aa9b-90a16a666a9b,Organisatiegerichtheid,Kwaliteitsgerichtheid,100,2
eb695653-6a34-557a-aa9b-90a16a666a9b,Organisatiegerichtheid,Ondernemerschap,73,2
eb695653-6a34-557a-aa9b-90a16a666a9b,Beïnvloedend vermogen,Overtuigingskracht,47,1
eb695653-6a34-557a-aa9b-90a16a666a9b,Beïnvloedend vermogen,Aansturen van groepen,67,1
eb695653-6a34-557a-aa9b-90a16a666a9b,Beïnvloedend vermogen,Aansturen van individuen,66,1
eb695653-6a34-557a-aa9b-90a16a666a9b,Beïnvloedend vermogen,Coachen van medewerkers,77,2
eb695653-6a34-557a-aa9b-90a16a666a9b,Beïnvloedend vermogen,Onderhandelen,76,2
eb695653-6a34-557a-aa9b-90a16a666a9b,Organisatie vermogen,Plannen en organiseren,97,2
eb695653-6a34-557a-aa9b-90a16a666a9b,Organisatie vermogen,Delegeren,73,2
eb695653-6a34-557a-aa9b-90a16a666a9b,Organisatie vermogen,Voortgangscontrole,87,2
eb695653-6a34-557a-aa9b-90a16a666a9b,Relationeel vermogen,Sensitiviteit,90,2
eb695653-6a34-557a-aa9b-90a16a666a9b,Relationeel vermogen,Samenwerking,84,2
eb695653-6a34-557a-aa9b-90a16a666a9b,Relationeel vermogen,Optreden,68,1
eb695653-6a34-557a-aa9b-90a16a666a9b,Relationeel vermogen,Relatiebeheer,87,2
eb695653-6a34-557a-aa9b-90a16a666a9b,Relationeel vermogen,Sociabiliteit,91,2
eb695653-6a34-557a-aa9b-90a16a666a9b,Relationeel vermogen,Assertiviteit,37,0
24e2d531-6fab-5f5b-9282-a488302c6547,Persoonlijke gerichtheid,Initiatief,36,0
24e2d531-6fab-5f5b-9282-a488302c6547,Persoonlijke gerichtheid,Besluitvaardigheid,44,1
24e2d531-6fab-5f5b-9282-a488302c6547,Persoonlijke gerichtheid,Flexibiliteit,34,0
24e2d531-6fab-5f5b-9282-a488302c6547,Persoonlijke gerichtheid,Stressbestendigheid,11,0
24e2d531-6fab-5f5b-9282-a488302c6547,Persoonlijke gerichtheid,Ambitie,33,0
24e2d531-6fab-5f5b-9282-a488302c6547,Persoonlijke gerichtheid,Zelfstandigheid,62,1
24e2d531-6fab-5f5b-9282-a488302c6547,Persoonlijke gerichtheid,Doorzettingsvermogen,20,0
24e2d531-6fab-5f5b-9282-a488302c6547,Persoonlijke gerichtheid,Resultaatgerichtheid,30,0
24e2d531-6fab-5f5b-9282-a488302c6547,Persoonlijke gerichtheid,Leerbereidheid,29,0
24e2d531-6fab-5f5b-9282-a488302c6547,Persoonlijke gerichtheid,Inzet,17,0
24e2d531-6fab-5f5b-9282-a488302c6547,Persoonlijke gerichtheid,Nauwkeurigheid,46,1
24e2d531-6fab-5f5b-9282-a488302c6547,Organisatiegerichtheid,Organisatiesensitiviteit,35,0
24e2d531-6fab-5f5b-9282-a488302c6547,Organisatiegerichtheid,Klantoriëntatie,35,0
24e2d531-6fab-5f5b-9282-a488302c6547,Organisatiegerichtheid,Kwaliteitsgerichtheid,50,1
24e2d531-6fab-5f5b-9282-a488302c6547,Organisatiegerichtheid,Ondernemerschap,38,0
24e2d531-6fab-5f5b-9282-a488302c6547,Beïnvloedend vermogen,Overtuigingskracht,47,1
24e2d531-6fab-5f5b-9282-a488302c6547,Beïnvloedend vermogen,Aansturen van groepen,33,0
24e2d531-6fab-5f5b-9282-a488302c6547,Beïnvloedend vermogen,Aansturen van individuen,54,1
24e2d531-6fab-5f5b-9282-a488302c6547,Beïnvloedend vermogen,Coachen van medewerkers,53,1
24e2d531-6fab-5f5b-9282-a488302c6547,Beïnvloedend vermogen,Onderhandelen,48,1
24e2d531-6fab-5f5b-9282-a488302c6547,Organisatie vermogen,Plannen en organiseren,41,1
24e2d531-6fab-5f5b-9282-a488302c6547,Organisatie vermogen,Delegeren,27,0
24e2d531-6fab-5f5b-9282-a488302c6547,Organisatie vermogen,Voortgangscontrole,38,0
24e2d531-6fab-5f5b-9282-a488302c6547,Relationeel vermogen,Sensitiviteit,36,0
24e2d531-6fab-5f5b-9282-a488302c6547,Relationeel vermogen,Samenwerking,22,0
24e2d531-6fab-5f5b-9282-a488302c6547,Relationeel vermogen,Optreden,45,1
24e2d531-6fab-5f5b-9282-a488302c6547,Relationeel vermogen,Relatiebeheer,48,1
24e2d531-6fab-5f5b-9282-a488302c6547,Relationeel vermogen,Sociabiliteit,36,0
24e2d531-6fab-5f5b-9282-a488302c6547,Relationeel vermogen,Assertiviteit,53,1
376aa464-a5f7-5aed-acd9-7dceb37ded9d,Persoonlijke gerichtheid,Initiatief,57,1
376aa464-a5f7-5aed-acd9-7dceb37ded9d,Persoonlijke gerichtheid,Besluitvaardigheid,48,1
376aa464-a5f7-5aed-acd9-7dceb37ded9d,Persoonlijke gerichtheid,Flexibiliteit,51,1
376aa464-a5f7-5aed-acd9-7dceb37ded9d,Persoonlijke gerichtheid,Stressbestendigheid,89,2
376aa464-a5f7-5aed-acd9-7dceb37ded9d,Persoonlijke gerichtheid,Ambitie,89,2
376aa464-a5f7-5aed-acd9-7dceb37ded9d,Persoonlijke gerichtheid,Zelfstandigheid,65,1
376aa464-a5f7-5aed-acd9-7dceb37ded9d,Persoonlijke gerichtheid,Doorzettingsvermogen,90,2
376aa464-a5f7-5aed-acd9-7dceb37ded9d,Persoonlijke gerichtheid,Resultaatgerichtheid,87,2
376aa464-a5f7-5aed-acd9-7dceb37ded9d,Persoonlijke gerichtheid,Leerbereidheid,75,2
376aa464-a5f7-5aed-acd9-7dceb37ded9d,Persoonlijke gerichtheid,Inzet,83,2
376aa464-a5f7-5aed-acd9-7dceb37ded9d,Persoonlijke gerichtheid,Nauwkeurigheid,89,2
376aa464-a5f7-5aed-acd9-7dceb37ded9d,Organisatiegerichtheid,Organisatiesensitiviteit,65,1
376aa464-a5f7-5aed-acd9-7dceb37ded9d,Organisatiegerichtheid,Klantoriëntatie,74,2
376aa464-a5f7-5aed-acd9-7dceb37ded9d,Organisatiegerichtheid,Kwaliteitsgerichtheid,96,2
376aa464-a5f7-5aed-acd9-7dceb37ded9d,Organisatiegerichtheid,Ondernemerschap,70,1
376aa464-a5f7-5aed-acd9-7dceb37ded9d,Beïnvloedend vermogen,Overtuigingskracht,69,1
376aa464-a5f7-5aed-acd9-7dceb37ded9d,Beïnvloedend vermogen,Aansturen van groepen,74,2
376aa464-a5f7-5aed-acd9-7dceb37ded9d,Beïnvloedend vermogen,Aansturen van individuen,89,2
376aa464-a5f7-5aed-acd9-7dceb37ded9d,Beïnvloedend vermogen,Coachen van medewerkers,64,1
376aa464-a5f7-5aed-acd9-7dceb37ded9d,Beïnvloedend vermogen,Onderhandelen,83,2
376aa464-a5f7-5aed-acd9-7dceb37ded9d,Organisatie vermogen,Plannen en organiseren,88,2
376aa464-a5f7-5aed-acd9-7dceb37ded9d,Organisatie vermogen,Delegeren,61,1
376aa464-a5f7-5aed-acd9-7dceb37ded9d,Organisatie vermogen,Voortgangscontrole,83,2
376aa464-a5f7-5aed-acd9-7dceb37ded9d,Relationeel vermogen,Sensitiviteit,60,1
376aa464-a5f7-5aed-acd9-7dceb37ded9d,Relationeel vermogen,Samenwerking,59,1
376aa464-a5f7-5aed-acd9-7dceb37ded9d,Relationeel vermogen,Optreden,72,2
376aa464-a5f7-5aed-acd9-7dceb37ded9d,Relationeel vermogen,Relatiebeheer,75,2
376aa464-a5f7-5aed-acd9-7dceb37ded9d,Relationeel vermogen,Sociabiliteit,67,1
