File ID,Hoofdcompetentie,Subcompetentie,Percentage
5c0747ca-674f-5dcd-aa3d-0dda5a77c658,Relationeel vermogen,Samenwerking,75
5c0747ca-674f-5dcd-aa3d-0dda5a77c658,Relationeel vermogen,Optreden,69
5c0747ca-674f-5dcd-aa3d-0dda5a77c658,Relationeel vermogen,Relatiebeheer,83
5c0747ca-674f-5dcd-aa3d-0dda5a77c658,Relationeel vermogen,Sociabiliteit,75
5c0747ca-674f-5dcd-aa3d-0dda5a77c658,Relationeel vermogen,Assertiviteit,51
06f319de-6e2d-596f-a545-d3fed5b048f1,Persoonlijke gerichtheid,Initiatief,35
06f319de-6e2d-596f-a545-d3fed5b048f1,Persoonlijke gerichtheid,Besluitvaardigheid,50
06f319de-6e2d-596f-a545-d3fed5b048f1,Persoonlijke gerichtheid,Flexibiliteit,34
06f319de-6e2d-596f-a545-d3fed5b048f1,Persoonlijke gerichtheid,Stressbestendigheid,41
06f319de-6e2d-596f-a545-d3fed5b048f1,Persoonlijke gerichtheid,Ambitie,59
06f319de-6e2d-596f-a545-d3fed5b048f1,Persoonlijke gerichtheid,Zelfstandigheid,63
06f319de-6e2d-596f-a545-d3fed5b048f1,Persoonlijke gerichtheid,Doorzettingsvermogen,44
06f319de-6e2d-596f-a545-d3fed5b048f1,Persoonlijke gerichtheid,Resultaatgerichtheid,53
06f319de-6e2d-596f-a545-d3fed5b048f1,Persoonlijke gerichtheid,Leerbereidheid,54
06f319de-6e2d-596f-a545-d3fed5b048f1,Persoonlijke gerichtheid,Inzet,36
06f319de-6e2d-596f-a545-d3fed5b048f1,Persoonlijke gerichtheid,Nauwkeurigheid,59
06f319de-6e2d-596f-a545-d3fed5b048f1,Organisatiegerichtheid,Organisatiesensitiviteit,39
06f319de-6e2d-596f-a545-d3fed5b048f1,Organisatiegerichtheid,Klantoriëntatie,45
06f319de-6e2d-596f-a545-d3fed5b048f1,Organisatiegerichtheid,Kwaliteitsgerichtheid,59
06f319de-6e2d-596f-a545-d3fed5b048f1,Organisatiegerichtheid,Ondernemerschap,44
06f319de-6e2d-596f-a545-d3fed5b048f1,Beïnvloedend vermogen,Overtuigingskracht,47
06f319de-6e2d-596f-a545-d3fed5b048f1,Beïnvloedend vermogen,Aansturen van groepen,45
06f319de-6e2d-596f-a545-d3fed5b048f1,Beïnvloedend vermogen,Aansturen van individuen,51
06f319de-6e2d-596f-a545-d3fed5b048f1,Beïnvloedend vermogen,Coachen van medewerkers,54
06f319de-6e2d-596f-a545-d3fed5b048f1,Beïnvloedend vermogen,Onderhandelen,49
06f319de-6e2d-596f-a545-d3fed5b048f1,Organisatie vermogen,Plannen en organiseren,43
06f319de-6e2d-596f-a545-d3fed5b048f1,Organisatie vermogen,Delegeren,39
06f319de-6e2d-596f-a545-d3fed5b048f1,Organisatie vermogen,Voortgangscontrole,50
06f319de-6e2d-596f-a545-d3fed5b048f1,Relationeel vermogen,Sensitiviteit,47
06f319de-6e2d-596f-a545-d3fed5b048f1,Relationeel vermogen,Samenwerking,30
06f319de-6e2d-596f-a545-d3fed5b048f1,Relationeel vermogen,Optreden,45
06f319de-6e2d-596f-a545-d3fed5b048f1,Relationeel vermogen,Relatiebeheer,37
06f319de-6e2d-596f-a545-d3fed5b048f1,Relationeel vermogen,Sociabiliteit,42
06f319de-6e2d-596f-a545-d3fed5b048f1,Relationeel vermogen,Assertiviteit,46
a5bc65f4-cbe4-5303-9ac4-0a97089e3ec2,Persoonlijke gerichtheid,Initiatief,55
a5bc65f4-cbe4-5303-9ac4-0a97089e3ec2,Persoonlijke gerichtheid,Besluitvaardigheid,60
a5bc65f4-cbe4-5303-9ac4-0a97089e3ec2,Persoonlijke gerichtheid,Flexibiliteit,28
a5bc65f4-cbe4-5303-9ac4-0a97089e3ec2,Persoonlijke gerichtheid,Stressbestendigheid,54
a5bc65f4-cbe4-5303-9ac4-0a97089e3ec2,Persoonlijke gerichtheid,Ambitie,46
a5bc65f4-cbe4-5303-9ac4-0a97089e3ec2,Persoonlijke gerichtheid,Zelfstandigheid,58
a5bc65f4-cbe4-5303-9ac4-0a97089e3ec2,Persoonlijke gerichtheid,Doorzettingsvermogen,46
a5bc65f4-cbe4-5303-9ac4-0a97089e3ec2,Persoonlijke gerichtheid,Resultaatgerichtheid,47
a5bc65f4-cbe4-5303-9ac4-0a97089e3ec2,Persoonlijke gerichtheid,Leerbereidheid,28
a5bc65f4-cbe4-5303-9ac4-0a97089e3ec2,Persoonlijke gerichtheid,Inzet,47
a5bc65f4-cbe4-5303-9ac4-0a97089e3ec2,Persoonlijke gerichtheid,Nauwkeurigheid,49
a5bc65f4-cbe4-5303-9ac4-0a97089e3ec2,Organisatiegerichtheid,Organisatiesensitiviteit,38
a5bc65f4-cbe4-5303-9ac4-0a97089e3ec2,Organisatiegerichtheid,Klantoriëntatie,48
a5bc65f4-cbe4-5303-9ac4-0a97089e3ec2,Organisatiegerichtheid,Kwaliteitsgerichtheid,46
a5bc65f4-cbe4-5303-9ac4-0a97089e3ec2,Organisatiegerichtheid,Ondernemerschap,49
a5bc65f4-cbe4-5303-9ac4-0a97089e3ec2,Beïnvloedend vermogen,Overtuigingskracht,57
a5bc65f4-cbe4-5303-9ac4-0a97089e3ec2,Beïnvloedend vermogen,Aansturen van groepen,62
a5bc65f4-cbe4-5303-9ac4-0a97089e3ec2,Beïnvloedend vermogen,Aansturen van individuen,56
a5bc65f4-cbe4-5303-9ac4-0a97089e3ec2,Beïnvloedend vermogen,Coachen van medewerkers,52
a5bc65f4-cbe4-5303-9ac4-0a97089e3ec2,Beïnvloedend vermogen,Onderhandelen,49
a5bc65f4-cbe4-5303-9ac4-0a97089e3ec2,Organisatie vermogen,Plannen en organiseren,44
a5bc65f4-cbe4-5303-9ac4-0a97089e3ec2,Organisatie vermogen,Delegeren,63
a5bc65f4-cbe4-5303-9ac4-0a97089e3ec2,Organisatie vermogen,Voortgangscontrole,50
a5bc65f4-cbe4-5303-9ac4-0a97089e3ec2,Relationeel vermogen,Sensitiviteit,44
a5bc65f4-cbe4-5303-9ac4-0a97089e3ec2,Relationeel vermogen,Samenwerking,59
a5bc65f4-cbe4-5303-9ac4-0a97089e3ec2,Relationeel vermogen,Optreden,54
a5bc65f4-cbe4-5303-9ac4-0a97089e3ec2,Relationeel vermogen,Relatiebeheer,50
a5bc65f4-cbe4-5303-9ac4-0a97089e3ec2,Relationeel vermogen,Sociabiliteit,58
a5bc65f4-cbe4-5303-9ac4-0a97089e3ec2,Relationeel vermogen,Assertiviteit,55
34b25cea-5d13-521f-a7ee-5ab4d31bb7cf,Persoonlijke gerichtheid,Initiatief,14
34b25cea-5d13-521f-a7ee-5ab4d31bb7cf,Persoonlijke gerichtheid,Besluitvaardigheid,24
34b25cea-5d13-521f-a7ee-5ab4d31bb7cf,Persoonlijke gerichtheid,Flexibiliteit,27
34b25cea-5d13-521f-a7ee-5ab4d31bb7cf,Persoonlijke gerichtheid,Stressbestendigheid,21
34b25cea-5d13-521f-a7ee-5ab4d31bb7cf,Persoonlijke gerichtheid,Ambitie,14
34b25cea-5d13-521f-a7ee-5ab4d31bb7cf,Persoonlijke gerichtheid,Zelfstandigheid,28
34b25cea-5d13-521f-a7ee-5ab4d31bb7cf,Persoonlijke gerichtheid,Doorzettingsvermogen,18
