,excluded_id,group1,group2,correlation_excluded,correlation_all,correlation_difference,stdev,threshold
1303,eb695653-6a34-557a-aa9b-90a16a666a9b,Contactbehoefte,Nauwkeurigheid,-0.10671832556940662,0.1189310267901664,0.225649352359573,0.05815326250297807,0.11630652500595615
1314,7080eb17-4d6c-516c-9cb2-70c2cfb220e8,Contactbehoefte,Nauwkeurigheid,0.23862064383403014,0.1189310267901664,-0.11968961704386374,0.05815326250297807,0.11630652500595615
1328,eb695653-6a34-557a-aa9b-90a16a666a9b,Contactbehoefte,Onafhankelijkheid,-0.220466441918725,-0.2962925499493186,-0.07582610803059359,0.03158048551827093,0.06316097103654186
1346,fe1661b9-4971-54a3-b310-1b7dadb63fcc,Contactbehoefte,Onafhankelijkheid,-0.36465525985638375,-0.2962925499493186,0.06836270990706517,0.03158048551827093,0.06316097103654186
1353,eb695653-6a34-557a-aa9b-90a16a666a9b,Contactbehoefte,Ordelijkheid,0.2522558770830439,0.37331434582924444,0.12105846874620052,0.05083556007261837,0.10167112014523674
1364,7080eb17-4d6c-516c-9cb2-70c2cfb220e8,Contactbehoefte,Ordelijkheid,0.5524683216096101,0.37331434582924444,-0.17915397578036568,0.05083556007261837,0.10167112014523674
1378,eb695653-6a34-557a-aa9b-90a16a666a9b,Contactbehoefte,Originaliteit,-0.14990135479061806,-0.003963762451287461,0.1459375923393306,0.04684276429780625,0.0936855285956125
1397,0b8c4ad8-0c0a-58a8-9c41-6afa58400dc3,Contactbehoefte,Originaliteit,0.15081991356510246,-0.003963762451287461,-0.15478367601638993,0.04684276429780625,0.0936855285956125
1439,7080eb17-4d6c-516c-9cb2-70c2cfb220e8,Contactbehoefte,Regelmaat,-0.2590235189306047,-0.3829627528325664,-0.12393923390196171,0.03872257130458016,0.07744514260916031
1458,283ab77f-98df-5946-aacd-c3bf20cc1bc4,Contactbehoefte,Sociaal Ontspannen,0.6608279264582397,0.6969935537404635,0.03616562728222372,0.018061571427343694,0.03612314285468739
1462,5e3ed26e-b8d0-53f5-be5a-38296109877d,Contactbehoefte,Sociaal Ontspannen,0.7437272313419944,0.6969935537404635,-0.04673367760153091,0.018061571427343694,0.03612314285468739
1472,0b8c4ad8-0c0a-58a8-9c41-6afa58400dc3,Contactbehoefte,Sociaal Ontspannen,0.6608279264582398,0.6969935537404635,0.03616562728222361,0.018061571427343694,0.03612314285468739
1478,eb695653-6a34-557a-aa9b-90a16a666a9b,Contactbehoefte,Status,0.3836533914432731,0.4565855031244517,0.07293211168117858,0.0316883577729006,0.0633767155458012
1483,283ab77f-98df-5946-aacd-c3bf20cc1bc4,Contactbehoefte,Status,0.38364708423849025,0.4565855031244517,0.07293841888596142,0.0316883577729006,0.0633767155458012
1497,0b8c4ad8-0c0a-58a8-9c41-6afa58400dc3,Contactbehoefte,Status,0.529201224784732,0.4565855031244517,-0.0726157216602803,0.0316883577729006,0.0633767155458012
